NoGroupe6|NoCours|NomCours|NumeroLocal|idLocal|TypeDeLocal|DateDebut|HeureDebut|DateFin|HeureFin|NoJour|
000004|410115MA|Comptabilité commerciale|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|18:00:00|1|
000002|410120MA|L'entreprise et les fonctions de travail en gestion|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|18:00:00|2|
000001|410333MA|Supervision du personnel|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|11:00:00|1|
000001|410425MA|Recherche commerciale|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|16:00:00|2|
000002|410425MA|Recherche commerciale|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|4|
000001|410525MA|Commerce international|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|5|
000002|410525MA|Commerce international|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|2|
000001|410532MA|Import-Export|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|12:00:00|3|
000002|410532MA|Import-Export|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|18:00:00|4|
000001|410535MA|Publicité et communication de masse|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|12:00:00|2016-12-19|15:00:00|3|
000001|410567MA|Contexte légal de la gestion des ressources humaines|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|12:00:00|2016-12-19|15:00:00|5|
000001|410596MA|Management|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|15:00:00|2016-12-19|18:00:00|3|
000001|410667MA|Droit du travail|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|2|
000001|410667MA|Droit du travail|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|4|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|13:00:00|2016-12-19|15:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-22|15:00:00|2016-08-28|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-11-14|15:00:00|2016-11-20|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-11-21|15:00:00|2016-11-27|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-11-28|15:00:00|2016-12-04|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-12-05|15:00:00|2016-12-11|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-12-12|15:00:00|2016-12-18|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-12-19|15:00:00|2016-12-25|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-08-29|15:00:00|2016-09-04|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-09-05|15:00:00|2016-09-11|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-10-10|15:00:00|2016-10-16|16:00:00|1|
000001|410CC1MA|Droit et société|A4495|MUTIMEDIA - TAD|Classe de multimédia|2016-10-17|15:00:00|2016-10-23|16:00:00|1|
000001|201103RE|Calcul I|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|15:00:00|5|
000002|201105RE|Algèbre linéaire et géométrie vectorielle|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|4|
000002|201105RE|Algèbre linéaire et géométrie vectorielle|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|15:00:00|3|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|12:00:00|2016-12-19|14:00:00|3|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|10:00:00|2016-08-28|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|10:00:00|2016-10-30|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|10:00:00|2016-11-06|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|10:00:00|2016-11-13|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|10:00:00|2016-11-20|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|10:00:00|2016-11-27|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-28|10:00:00|2016-12-04|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-05|10:00:00|2016-12-11|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|10:00:00|2016-12-18|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|10:00:00|2016-09-04|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|10:00:00|2016-09-18|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|10:00:00|2016-09-25|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|10:00:00|2016-10-02|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|10:00:00|2016-10-09|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-10|10:00:00|2016-10-16|12:00:00|5|
000082|201701MA|Statistiques et probabilités|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|10:00:00|2016-10-23|12:00:00|5|
000001|201703MA|Calcul intégral|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|16:00:00|1|
000001|201703MA|Calcul intégral|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|15:00:00|2016-12-19|17:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|08:00:00|2016-08-28|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|08:00:00|2016-10-30|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|08:00:00|2016-11-06|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|08:00:00|2016-11-13|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|08:00:00|2016-11-20|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|08:00:00|2016-11-27|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|08:00:00|2016-12-18|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|08:00:00|2016-09-04|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-05|08:00:00|2016-09-11|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|08:00:00|2016-09-18|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|08:00:00|2016-09-25|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|08:00:00|2016-10-02|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|08:00:00|2016-10-09|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-10|08:00:00|2016-10-16|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|08:00:00|2016-10-23|10:00:00|5|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|11:00:00|2016-10-23|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|11:00:00|2016-10-30|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|11:00:00|2016-11-06|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|11:00:00|2016-11-13|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|11:00:00|2016-11-20|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|11:00:00|2016-11-27|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-28|11:00:00|2016-12-04|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|11:00:00|2016-12-18|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-19|11:00:00|2016-12-25|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|11:00:00|2016-08-28|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|11:00:00|2016-09-04|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-05|11:00:00|2016-09-11|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|11:00:00|2016-09-18|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|11:00:00|2016-09-25|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|11:00:00|2016-10-02|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|11:00:00|2016-10-09|12:00:00|1|
000281|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-10|11:00:00|2016-10-16|12:00:00|1|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|12:00:00|2016-08-28|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|12:00:00|2016-10-30|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|12:00:00|2016-11-06|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|12:00:00|2016-11-13|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|12:00:00|2016-11-20|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|12:00:00|2016-11-27|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|12:00:00|2016-12-18|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|12:00:00|2016-09-04|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-05|12:00:00|2016-09-11|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|12:00:00|2016-09-18|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|12:00:00|2016-09-25|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|12:00:00|2016-10-02|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|12:00:00|2016-10-09|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-10|12:00:00|2016-10-16|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|12:00:00|2016-10-23|13:00:00|5|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|08:00:00|2016-08-28|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|08:00:00|2016-10-30|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|08:00:00|2016-11-06|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|08:00:00|2016-11-13|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|08:00:00|2016-11-20|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|08:00:00|2016-11-27|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-28|08:00:00|2016-12-04|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|08:00:00|2016-12-18|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|08:00:00|2016-09-04|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-05|08:00:00|2016-09-11|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|08:00:00|2016-09-18|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|08:00:00|2016-09-25|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|08:00:00|2016-10-02|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|08:00:00|2016-10-09|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-10|08:00:00|2016-10-16|10:00:00|2|
000282|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|08:00:00|2016-10-23|10:00:00|2|
000284|201EED05|Compléments de mathématiques|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|16:00:00|4|
000091|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|1|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|13:00:00|2016-08-28|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|13:00:00|2016-10-30|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|13:00:00|2016-11-06|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|13:00:00|2016-11-13|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|13:00:00|2016-11-20|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|13:00:00|2016-11-27|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-28|13:00:00|2016-12-04|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-05|13:00:00|2016-12-11|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|13:00:00|2016-12-18|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|13:00:00|2016-09-04|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-05|13:00:00|2016-09-11|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|13:00:00|2016-09-18|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|13:00:00|2016-09-25|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|13:00:00|2016-10-02|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|13:00:00|2016-10-09|14:00:00|5|
000092|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|13:00:00|2016-10-23|14:00:00|5|
000205|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|08:00:00|2016-12-19|10:00:00|4|
000209|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|10:00:00|2016-12-25|11:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|12:00:00|2016-08-28|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-29|12:00:00|2016-09-04|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-05|12:00:00|2016-09-11|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-12|12:00:00|2016-09-18|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-19|12:00:00|2016-09-25|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-09-26|12:00:00|2016-10-02|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-03|12:00:00|2016-10-09|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-10|12:00:00|2016-10-16|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-17|12:00:00|2016-10-23|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-24|12:00:00|2016-10-30|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-10-31|12:00:00|2016-11-06|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-07|12:00:00|2016-11-13|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-14|12:00:00|2016-11-20|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-21|12:00:00|2016-11-27|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-11-28|12:00:00|2016-12-04|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-05|12:00:00|2016-12-11|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-12|12:00:00|2016-12-18|13:00:00|1|
000210|201NYA05|Calcul différentiel|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-12-19|12:00:00|2016-12-25|13:00:00|1|
000005|201NYC05|Algèbre linéaire et géométrie vectorielle|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|3|
000005|201NYC05|Algèbre linéaire et géométrie vectorielle|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|16:00:00|2016-12-19|17:00:00|5|
000005|203NYA05|Mécanique|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|14:00:00|2016-12-19|16:00:00|2|
000010|340101MQ|Philosophie et rationalité|A5560|MULTIMÉDIA-MATHS|Classe de multimédia|2016-08-22|13:00:00|2016-12-19|15:00:00|1|
000002|201103RE|Calcul I|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-08-22|10:00:00|2016-12-19|12:00:00|2|
000002|201703MA|Calcul intégral|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-08-22|12:00:00|2016-12-19|14:00:00|5|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-08-22|10:00:00|2016-08-28|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-10-24|10:00:00|2016-10-30|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-10-31|10:00:00|2016-11-06|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-11-07|10:00:00|2016-11-13|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-11-14|10:00:00|2016-11-20|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-11-21|10:00:00|2016-11-27|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-11-28|10:00:00|2016-12-04|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-12-12|10:00:00|2016-12-18|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-08-29|10:00:00|2016-09-04|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-09-05|10:00:00|2016-09-11|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-09-12|10:00:00|2016-09-18|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-09-19|10:00:00|2016-09-25|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-09-26|10:00:00|2016-10-02|12:00:00|3|
000281|201EED05|Compléments de mathématiques|A6653|MULTIMEDIA - Maths|Classe de multimédia|2016-10-03|10:00:00|2016-10-09|12:00:00|3|
